train_id,origin,destination,travel_date,booking_date,class,seats_requested,booked
T121,JU,PUNE,2025-08-04,2025-05-18,3A,1,1
T117,JU,CSTM,2025-01-15,2024-10-08,SL,1,1
T127,JU,PUNE,2025-09-30,2025-08-04,SL,1,0
T119,HYD,MAS,2025-03-08,2025-02-26,3A,1,0
T135,CSTM,BCT,2025-09-21,2025-06-02,3A,1,1
T125,BCT,HYD,2025-12-31,2025-11-02,SL,1,0
T121,SBC,PUNE,2025-04-22,2025-02-11,SL,1,1
T108,PUNE,KOL,2025-01-31,2024-10-08,SL,1,0
T130,CSTM,BCT,2025-08-08,2025-05-16,2A,1,0
T101,LKO,KOL,2025-10-27,2025-09-12,SL,1,0
T103,KOL,SBC,2025-01-20,2024-10-15,SL,1,1
T136,MAS,KOL,2025-06-27,2025-05-25,SL,1,0
T109,BCT,HYD,2025-03-25,2025-03-23,SL,1,0
T123,CSTM,LKO,2025-04-04,2025-02-28,SL,1,0
T113,SBC,HYD,2025-05-17,2025-03-03,SL,1,1
T128,LKO,JU,2025-09-27,2025-06-18,3A,1,1
T136,SBC,KOL,2025-03-03,2024-12-15,SL,1,0
T138,LKO,KOL,2025-12-19,2025-11-11,3A,1,1
T124,NDLS,BCT,2025-11-05,2025-07-17,2A,1,0
T106,KOL,HYD,2025-01-15,2024-12-04,2A,1,1
T129,PUNE,MAS,2025-02-07,2025-01-09,3A,1,1
T103,CSTM,BCT,2025-01-05,2024-12-26,2A,1,0
T137,MAS,HYD,2025-07-03,2025-05-12,3A,1,1
T101,KOL,MAS,2025-10-19,2025-09-13,3A,1,1
T119,JU,LKO,2025-05-14,2025-04-06,SL,1,1
T112,LKO,BCT,2025-04-21,2025-01-22,3A,1,1
T135,MAS,CSTM,2025-11-24,2025-10-18,3A,1,1
T128,LKO,JU,2025-09-24,2025-06-30,SL,1,1
T120,JU,MAS,2025-11-09,2025-09-16,SL,1,0
T108,SBC,JU,2025-11-09,2025-08-27,SL,1,1
T124,JU,CSTM,2025-07-29,2025-07-27,SL,1,1
T123,HYD,PUNE,2025-07-17,2025-05-26,SL,1,1
T128,CSTM,BCT,2025-02-18,2024-11-25,SL,1,0
T106,NDLS,LKO,2025-07-30,2025-06-09,SL,1,1
T128,LKO,KOL,2025-09-14,2025-08-27,3A,1,0
T129,CSTM,KOL,2025-05-12,2025-03-10,SL,1,0
T138,KOL,MAS,2025-06-11,2025-02-21,SL,1,1
T102,LKO,PUNE,2025-09-12,2025-07-15,SL,1,1
T136,KOL,MAS,2025-04-02,2024-12-26,SL,1,0
T115,MAS,SBC,2025-07-01,2025-05-25,SL,1,1
T117,PUNE,LKO,2025-05-31,2025-04-28,2A,1,0
T104,MAS,BCT,2025-04-29,2025-02-21,SL,1,1
T137,HYD,BCT,2025-12-21,2025-10-29,2A,1,0
T122,NDLS,KOL,2025-07-28,2025-04-04,SL,1,1
T124,PUNE,JU,2025-10-05,2025-06-09,2A,1,1
T122,SBC,PUNE,2025-05-08,2025-04-20,SL,1,0
T137,BCT,NDLS,2025-06-02,2025-04-26,SL,1,1
T126,HYD,CSTM,2025-06-17,2025-03-18,SL,1,1
T106,JU,NDLS,2025-07-09,2025-06-13,3A,1,0
T125,SBC,HYD,2025-06-13,2025-06-02,3A,1,1
T134,CSTM,BCT,2025-04-21,2025-02-25,1A,1,1
T119,KOL,MAS,2025-12-03,2025-08-09,SL,1,1
T133,HYD,BCT,2025-03-14,2024-11-17,SL,1,1
T124,PUNE,KOL,2025-08-17,2025-08-14,SL,1,0
T137,BCT,MAS,2025-02-13,2024-11-04,2A,1,1
T115,LKO,KOL,2025-05-29,2025-05-21,3A,1,0
T115,CSTM,HYD,2025-03-30,2025-03-05,3A,1,0
T131,JU,PUNE,2025-10-09,2025-09-22,3A,1,0
T113,SBC,LKO,2025-06-25,2025-06-16,SL,1,0
T138,KOL,BCT,2025-04-13,2025-02-13,SL,1,1
T134,BCT,MAS,2025-06-20,2025-05-14,SL,1,1
T103,CSTM,JU,2025-07-29,2025-07-16,3A,1,0
T101,PUNE,KOL,2025-02-03,2024-12-23,SL,1,0
T134,PUNE,MAS,2025-11-14,2025-10-16,SL,1,0
T109,HYD,PUNE,2025-03-06,2024-12-12,SL,1,1
T103,BCT,CSTM,2025-07-12,2025-06-17,2A,1,1
T114,NDLS,JU,2025-05-20,2025-02-21,1A,1,1
T138,LKO,HYD,2025-03-03,2025-02-20,3A,1,1
T103,LKO,MAS,2025-03-04,2024-12-01,SL,1,1
T102,LKO,CSTM,2025-09-18,2025-09-13,3A,1,1
T108,KOL,SBC,2025-03-02,2024-11-09,SL,1,0
T102,KOL,PUNE,2025-04-30,2025-04-17,3A,1,1
T103,SBC,BCT,2025-04-15,2025-04-04,SL,1,1
T133,JU,HYD,2025-02-09,2024-11-22,2A,1,0
T133,LKO,CSTM,2025-09-08,2025-06-28,3A,1,1
T112,SBC,NDLS,2025-02-09,2024-10-18,2A,1,1
T102,LKO,HYD,2025-02-09,2024-11-03,3A,1,1
T139,NDLS,JU,2025-12-29,2025-12-16,SL,1,0
T135,CSTM,LKO,2025-08-23,2025-08-18,1A,1,1
T131,SBC,LKO,2025-03-23,2025-02-20,2A,1,0
T128,PUNE,BCT,2025-01-13,2024-10-09,3A,1,1
T123,KOL,PUNE,2025-03-15,2024-12-22,SL,1,0
T127,SBC,PUNE,2025-12-18,2025-10-11,3A,1,1
T121,JU,LKO,2025-11-02,2025-08-12,1A,1,1
T111,MAS,KOL,2025-01-07,2024-11-16,SL,1,0
T110,JU,PUNE,2025-08-14,2025-07-19,1A,1,1
T112,HYD,PUNE,2025-10-12,2025-09-27,3A,1,1
T116,LKO,SBC,2025-12-23,2025-11-06,3A,1,1
T104,KOL,NDLS,2025-01-15,2024-11-18,3A,1,1
T117,LKO,JU,2025-04-03,2025-03-17,3A,1,0
T106,KOL,CSTM,2025-11-12,2025-10-19,1A,1,1
T106,NDLS,SBC,2025-01-09,2024-10-01,SL,1,1
T121,CSTM,SBC,2025-12-10,2025-08-15,SL,1,1
T130,CSTM,JU,2025-04-12,2025-03-10,2A,1,0
T123,HYD,NDLS,2025-02-15,2024-12-01,SL,1,1
T109,LKO,BCT,2025-01-02,2024-09-27,3A,1,0
T129,NDLS,SBC,2025-04-13,2025-03-18,SL,1,0
T133,JU,PUNE,2025-11-01,2025-09-18,1A,1,1
T105,HYD,CSTM,2025-12-25,2025-10-13,3A,1,0
T127,MAS,LKO,2025-03-25,2025-01-09,3A,1,1
T121,JU,KOL,2025-07-07,2025-05-27,3A,1,0
T118,PUNE,MAS,2025-08-09,2025-06-25,3A,1,0
T117,CSTM,BCT,2025-05-30,2025-03-08,SL,1,1
T134,CSTM,NDLS,2025-11-28,2025-11-21,SL,1,0
T123,MAS,CSTM,2025-08-08,2025-08-04,SL,1,0
T133,MAS,BCT,2025-09-19,2025-07-02,3A,1,0
T111,KOL,BCT,2025-01-21,2024-12-12,3A,1,0
T122,JU,BCT,2025-10-20,2025-06-23,2A,1,1
T113,LKO,PUNE,2025-03-25,2024-12-26,3A,1,0
T101,KOL,CSTM,2025-06-13,2025-06-08,1A,1,0
T110,JU,KOL,2025-09-27,2025-06-01,SL,1,1
T104,MAS,HYD,2025-01-01,2024-11-19,SL,1,1
T127,HYD,SBC,2025-07-23,2025-06-06,SL,1,1
T114,CSTM,MAS,2025-11-30,2025-08-08,SL,1,1
T119,JU,NDLS,2025-02-04,2024-10-08,SL,1,1
T113,JU,MAS,2025-08-30,2025-07-08,1A,1,1
T133,HYD,BCT,2025-07-04,2025-06-05,3A,1,1
T137,MAS,LKO,2025-11-04,2025-09-20,3A,1,1
T107,BCT,CSTM,2025-09-21,2025-09-20,SL,1,0
T109,BCT,KOL,2025-01-26,2025-01-09,2A,1,0
T111,LKO,JU,2025-10-16,2025-08-31,3A,1,1
T101,BCT,PUNE,2025-03-14,2025-01-10,2A,1,0
T112,HYD,SBC,2025-06-08,2025-03-23,3A,1,1
T137,KOL,PUNE,2025-03-23,2024-12-15,2A,1,1
T110,NDLS,HYD,2025-03-30,2025-02-04,SL,1,1
T118,HYD,NDLS,2025-08-12,2025-06-24,SL,1,1
T125,KOL,HYD,2025-11-26,2025-08-08,3A,1,1
T101,CSTM,SBC,2025-06-03,2025-03-02,SL,1,1
T136,MAS,LKO,2025-10-29,2025-08-20,3A,1,1
T110,KOL,SBC,2025-05-21,2025-04-30,SL,1,1
T103,SBC,MAS,2025-01-27,2024-10-09,2A,1,1
T129,BCT,KOL,2025-03-18,2025-01-28,SL,1,1
T110,PUNE,LKO,2025-06-08,2025-05-26,3A,1,1
T135,MAS,SBC,2025-09-20,2025-05-25,2A,1,1
T112,PUNE,CSTM,2025-10-04,2025-06-08,2A,1,1
T107,LKO,NDLS,2025-12-13,2025-11-17,3A,1,1
T118,MAS,LKO,2025-12-11,2025-09-28,SL,1,1
T134,BCT,NDLS,2025-05-29,2025-01-30,SL,1,1
T114,KOL,LKO,2025-01-11,2024-12-10,SL,1,1
T101,KOL,LKO,2025-05-26,2025-03-02,SL,1,1
T138,HYD,NDLS,2025-10-07,2025-07-24,SL,1,1
T138,MAS,HYD,2025-12-19,2025-09-09,3A,1,1
T132,CSTM,JU,2025-07-15,2025-04-03,SL,1,1
T131,SBC,HYD,2025-07-19,2025-04-08,3A,1,1
T102,CSTM,PUNE,2025-08-03,2025-08-01,SL,1,0
T135,SBC,JU,2025-07-27,2025-06-02,SL,1,1
T115,NDLS,HYD,2025-01-03,2024-10-11,2A,1,1
T104,MAS,HYD,2025-11-17,2025-08-01,2A,1,1
T105,CSTM,BCT,2025-08-19,2025-06-08,2A,1,1
T113,MAS,NDLS,2025-04-24,2025-04-01,SL,1,1
T101,HYD,JU,2025-11-27,2025-09-23,2A,1,0
T105,KOL,PUNE,2025-05-23,2025-04-10,1A,1,0
T111,NDLS,PUNE,2025-10-18,2025-07-28,3A,1,1
T106,MAS,JU,2025-06-12,2025-05-28,SL,1,0
T117,MAS,BCT,2025-01-25,2025-01-15,3A,1,0
T100,CSTM,MAS,2025-01-25,2025-01-22,3A,1,1
T120,BCT,SBC,2025-03-20,2025-02-23,1A,1,0
T112,MAS,BCT,2025-11-12,2025-08-11,2A,1,1
T101,PUNE,KOL,2025-01-05,2024-12-05,3A,1,0
T130,LKO,JU,2025-03-24,2024-12-27,SL,1,1
T127,KOL,LKO,2025-09-09,2025-06-21,3A,1,1
T128,MAS,SBC,2025-08-19,2025-07-12,3A,1,0
T134,PUNE,CSTM,2025-08-17,2025-08-03,SL,1,0
T120,JU,PUNE,2025-03-06,2025-01-07,SL,1,0
T120,SBC,BCT,2025-06-22,2025-03-13,SL,1,0
T120,MAS,LKO,2025-10-09,2025-06-14,SL,1,0
T117,LKO,KOL,2025-08-09,2025-04-26,SL,1,0
T116,LKO,JU,2025-05-09,2025-03-29,2A,1,1
T132,JU,BCT,2025-08-20,2025-06-23,SL,1,0
T107,NDLS,BCT,2025-12-09,2025-10-10,3A,1,1
T131,NDLS,LKO,2025-01-08,2024-09-29,SL,1,1
T123,KOL,HYD,2025-05-13,2025-04-26,3A,1,1
T130,MAS,SBC,2025-07-30,2025-07-15,3A,1,1
T129,CSTM,HYD,2025-05-18,2025-03-15,SL,1,1
T127,NDLS,HYD,2025-11-25,2025-08-13,SL,1,1
T113,HYD,JU,2025-04-29,2025-01-30,SL,1,0
T120,MAS,HYD,2025-09-26,2025-09-24,3A,1,0
T110,JU,NDLS,2025-07-02,2025-05-23,SL,1,1
T113,JU,HYD,2025-10-05,2025-06-13,SL,1,1
T120,KOL,LKO,2025-09-25,2025-08-17,2A,1,1
T112,SBC,HYD,2025-12-26,2025-11-10,3A,1,1
T127,BCT,KOL,2025-08-01,2025-07-03,3A,1,0
T130,KOL,LKO,2025-02-13,2024-11-17,3A,1,1
T118,PUNE,LKO,2025-10-08,2025-06-22,3A,1,1
T115,LKO,NDLS,2025-09-18,2025-06-02,2A,1,0
T133,HYD,SBC,2025-08-19,2025-07-04,3A,1,0
T112,HYD,MAS,2025-03-27,2025-02-19,2A,1,1
T133,SBC,JU,2025-03-16,2025-02-24,3A,1,0
T105,LKO,KOL,2025-07-05,2025-03-26,SL,1,0
T134,JU,SBC,2025-11-06,2025-07-27,3A,1,1
T137,MAS,JU,2025-01-20,2024-12-06,SL,1,0
T136,JU,PUNE,2025-09-11,2025-05-18,SL,1,1
T118,KOL,NDLS,2025-07-30,2025-05-28,SL,1,1
T130,MAS,KOL,2025-06-22,2025-05-05,SL,1,1
T132,BCT,SBC,2025-09-08,2025-05-18,2A,1,1
T132,NDLS,PUNE,2025-05-28,2025-05-24,3A,1,1
T105,PUNE,JU,2025-11-21,2025-08-23,SL,1,1
T129,CSTM,PUNE,2025-12-31,2025-10-11,3A,1,1
T134,JU,KOL,2025-12-15,2025-10-07,SL,1,0
T135,CSTM,MAS,2025-10-22,2025-07-11,SL,1,1
T135,CSTM,JU,2025-06-23,2025-04-30,3A,1,1
T135,SBC,HYD,2025-04-16,2024-12-29,SL,1,1
T134,PUNE,HYD,2025-12-02,2025-11-22,SL,1,1
T108,MAS,HYD,2025-03-25,2024-12-08,3A,1,1
T120,MAS,BCT,2025-01-07,2024-12-05,SL,1,0
T123,PUNE,SBC,2025-06-03,2025-04-22,SL,1,1
T136,JU,SBC,2025-03-10,2024-12-18,3A,1,1
T124,SBC,JU,2025-06-10,2025-04-10,SL,1,1
T106,CSTM,LKO,2025-03-22,2025-02-17,1A,1,0
T138,CSTM,NDLS,2025-04-08,2025-03-22,SL,1,0
T100,JU,SBC,2025-01-02,2024-12-28,3A,1,0
T138,CSTM,HYD,2025-10-21,2025-07-02,2A,1,1
T131,PUNE,SBC,2025-06-03,2025-05-14,SL,1,1
T120,CSTM,MAS,2025-09-27,2025-06-27,SL,1,1
T127,JU,NDLS,2025-03-07,2025-01-03,SL,1,1
T134,CSTM,LKO,2025-10-06,2025-08-15,2A,1,1
T118,SBC,KOL,2025-09-25,2025-09-14,3A,1,0
T120,LKO,PUNE,2025-02-16,2025-02-07,SL,1,0
T117,JU,MAS,2025-09-25,2025-07-17,SL,1,0
T139,CSTM,NDLS,2025-05-09,2025-02-06,SL,1,1
T131,SBC,MAS,2025-09-03,2025-06-01,2A,1,1
T100,PUNE,SBC,2025-06-07,2025-05-17,3A,1,1
T137,JU,PUNE,2025-11-21,2025-10-25,3A,1,0
T104,KOL,JU,2025-05-14,2025-01-18,3A,1,1
T110,BCT,JU,2025-08-04,2025-05-11,SL,1,1
T120,LKO,NDLS,2025-06-12,2025-03-19,SL,1,1
T117,JU,HYD,2025-06-25,2025-06-02,3A,1,0
T126,KOL,NDLS,2025-09-29,2025-07-07,SL,1,1
T127,PUNE,CSTM,2025-05-28,2025-03-16,SL,1,1
T103,JU,HYD,2025-10-21,2025-09-04,SL,1,1
T113,MAS,NDLS,2025-12-21,2025-11-12,SL,1,0
T126,PUNE,BCT,2025-02-07,2024-12-23,SL,1,1
T134,KOL,SBC,2025-10-08,2025-06-17,SL,1,0
T102,JU,KOL,2025-10-11,2025-07-30,SL,1,0
T108,PUNE,JU,2025-04-30,2025-04-11,3A,1,1
T132,LKO,MAS,2025-05-22,2025-02-22,3A,1,1
T113,HYD,MAS,2025-09-21,2025-07-15,2A,1,0
T115,NDLS,MAS,2025-03-05,2025-02-22,3A,1,0
T120,SBC,MAS,2025-06-21,2025-03-12,SL,1,0
T100,LKO,PUNE,2025-11-28,2025-10-12,2A,1,1
T114,HYD,KOL,2025-11-04,2025-10-09,SL,1,0
T128,KOL,SBC,2025-12-14,2025-10-20,SL,1,1
T102,CSTM,BCT,2025-06-11,2025-03-15,SL,1,1
T111,CSTM,HYD,2025-12-28,2025-10-06,1A,1,1
T134,LKO,KOL,2025-08-25,2025-07-08,SL,1,0
T107,MAS,NDLS,2025-10-22,2025-07-24,2A,1,1
T108,LKO,SBC,2025-02-10,2024-12-23,2A,1,1
T138,KOL,NDLS,2025-04-18,2025-03-09,3A,1,0
T111,NDLS,LKO,2025-09-07,2025-06-07,3A,1,1
T119,BCT,KOL,2025-11-20,2025-09-15,SL,1,1
T117,SBC,KOL,2025-03-25,2024-12-04,2A,1,0
T101,HYD,BCT,2025-11-27,2025-10-07,3A,1,1
T108,HYD,PUNE,2025-09-16,2025-08-19,3A,1,1
T116,HYD,KOL,2025-11-17,2025-08-02,SL,1,1
T136,SBC,NDLS,2025-10-06,2025-07-03,2A,1,0
T135,KOL,LKO,2025-05-02,2025-02-18,3A,1,1
T131,KOL,MAS,2025-06-21,2025-05-24,2A,1,0
T135,NDLS,HYD,2025-10-17,2025-09-08,SL,1,1
T103,SBC,HYD,2025-07-12,2025-05-08,2A,1,1
T134,NDLS,BCT,2025-03-05,2025-01-26,3A,1,1
T111,CSTM,NDLS,2025-04-23,2025-03-23,SL,1,0
T110,MAS,PUNE,2025-08-22,2025-05-07,SL,1,1
T114,SBC,CSTM,2025-06-19,2025-05-13,SL,1,0
T108,NDLS,SBC,2025-04-19,2025-04-02,1A,1,0
T104,SBC,JU,2025-06-11,2025-04-23,SL,1,1
T133,KOL,NDLS,2025-01-21,2024-10-28,1A,1,1
T100,LKO,KOL,2025-04-21,2025-04-08,2A,1,0
T117,LKO,CSTM,2025-09-07,2025-08-14,SL,1,0
T107,SBC,NDLS,2025-06-13,2025-03-04,2A,1,1
T111,CSTM,SBC,2025-01-05,2024-09-09,3A,1,1
T111,CSTM,NDLS,2025-05-27,2025-02-01,3A,1,1
T135,CSTM,NDLS,2025-08-04,2025-06-03,SL,1,1
T116,KOL,CSTM,2025-08-07,2025-05-21,SL,1,1
T134,HYD,LKO,2025-12-03,2025-08-09,3A,1,1
T107,KOL,PUNE,2025-11-21,2025-09-15,3A,1,1
T131,CSTM,PUNE,2025-11-19,2025-10-07,3A,1,1
T120,BCT,JU,2025-02-04,2025-01-11,SL,1,1
T100,MAS,JU,2025-01-01,2024-11-25,SL,1,1
T107,SBC,JU,2025-06-13,2025-06-12,3A,1,0
T113,MAS,PUNE,2025-12-21,2025-10-07,3A,1,1
T112,BCT,MAS,2025-01-16,2024-10-06,3A,1,1
T125,LKO,BCT,2025-08-03,2025-06-25,2A,1,1
T126,CSTM,LKO,2025-10-22,2025-08-30,SL,1,1
T118,HYD,JU,2025-01-31,2024-11-06,2A,1,1
T109,JU,MAS,2025-02-23,2024-12-13,SL,1,0
T123,CSTM,MAS,2025-02-28,2024-12-13,3A,1,1
T130,BCT,KOL,2025-05-07,2025-01-29,SL,1,1
T128,JU,BCT,2025-08-02,2025-04-28,3A,1,1
T107,HYD,CSTM,2025-11-16,2025-09-08,SL,1,1
T126,BCT,SBC,2025-12-04,2025-08-26,2A,1,1
T105,LKO,KOL,2025-07-05,2025-05-29,SL,1,0
T109,PUNE,SBC,2025-08-23,2025-08-02,3A,1,0
T110,NDLS,SBC,2025-10-08,2025-08-22,SL,1,1
T116,SBC,PUNE,2025-12-25,2025-11-07,3A,1,1
T117,KOL,JU,2025-01-13,2024-11-03,SL,1,1
T108,CSTM,PUNE,2025-04-10,2025-02-13,3A,1,1
T133,HYD,LKO,2025-09-20,2025-09-12,SL,1,0
T100,MAS,CSTM,2025-08-15,2025-04-30,3A,1,1
T109,SBC,CSTM,2025-02-15,2024-12-03,SL,1,1
T102,CSTM,NDLS,2025-07-01,2025-06-19,SL,1,0
T124,MAS,PUNE,2025-12-06,2025-10-02,SL,1,1
T111,CSTM,SBC,2025-07-06,2025-05-25,SL,1,1
T136,CSTM,LKO,2025-08-12,2025-05-08,SL,1,1
T111,SBC,MAS,2025-05-15,2025-02-27,2A,1,1
T131,LKO,NDLS,2025-08-05,2025-05-10,SL,1,0
T128,HYD,BCT,2025-07-24,2025-04-17,3A,1,1
T125,MAS,HYD,2025-04-29,2025-04-20,3A,1,0
T127,CSTM,JU,2025-02-28,2025-02-11,3A,1,0
T125,HYD,KOL,2025-06-30,2025-06-19,3A,1,0
T137,LKO,CSTM,2025-02-26,2024-12-28,2A,1,1
T125,NDLS,KOL,2025-03-25,2025-03-20,3A,1,0
T126,BCT,CSTM,2025-10-21,2025-09-05,2A,1,0
T113,JU,KOL,2025-01-06,2024-10-04,SL,1,1
T105,HYD,MAS,2025-09-09,2025-06-02,1A,1,0
T125,HYD,SBC,2025-10-01,2025-07-04,3A,1,0
T103,KOL,BCT,2025-04-17,2025-03-31,SL,1,0
T133,PUNE,HYD,2025-12-28,2025-12-15,SL,1,0
T138,NDLS,SBC,2025-08-30,2025-06-03,3A,1,1
T108,SBC,MAS,2025-06-05,2025-02-24,SL,1,1
T101,PUNE,HYD,2025-04-01,2025-02-12,SL,1,1
T128,KOL,SBC,2025-09-05,2025-08-27,1A,1,0
T106,NDLS,MAS,2025-04-27,2025-02-02,SL,1,1
T138,JU,NDLS,2025-06-22,2025-06-04,SL,1,0
T100,JU,MAS,2025-12-09,2025-08-15,3A,1,1
T104,JU,NDLS,2025-10-05,2025-09-18,2A,1,0
T134,JU,KOL,2025-04-19,2025-03-31,SL,1,0
T106,JU,LKO,2025-05-12,2025-05-07,2A,1,1
T107,HYD,KOL,2025-04-13,2024-12-22,SL,1,1
T126,MAS,KOL,2025-07-14,2025-06-07,SL,1,1
T103,KOL,BCT,2025-06-30,2025-05-04,SL,1,1
T104,SBC,JU,2025-09-06,2025-07-11,SL,1,1
T138,CSTM,SBC,2025-07-31,2025-05-31,SL,1,1
T103,CSTM,KOL,2025-08-27,2025-07-22,SL,1,0
T136,HYD,KOL,2025-07-04,2025-04-17,SL,1,0
T135,PUNE,HYD,2025-08-01,2025-07-10,3A,1,1
T109,BCT,JU,2025-05-19,2025-02-27,3A,1,1
T116,MAS,SBC,2025-06-02,2025-02-11,SL,1,1
T135,NDLS,JU,2025-07-13,2025-04-16,3A,1,1
T105,NDLS,LKO,2025-05-06,2025-03-28,SL,1,0
T102,NDLS,BCT,2025-06-24,2025-04-09,SL,1,1
T116,KOL,SBC,2025-12-18,2025-11-16,3A,1,0
T139,JU,NDLS,2025-06-11,2025-05-28,SL,1,1
T128,KOL,PUNE,2025-06-17,2025-03-12,SL,1,1
